First name ;Last name ;Phone number ;Address
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ; 
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
Kirill; Pashkin; 4568; Solig
Lera; Pupkina; 51165151; Minsk
Sergey; Lohov; 51561; somewhere
Pashkin; Grigory; 6751747; Soligorsk
Vasia; Bulkin; 123456; Moscow
Sveta; Golubeva; 659872; Brest
Pedro; ; ;
Huan; Gonzales; 6325852525; Mexico
Maksim; Udod; 246465; Israel
Oleg; Golenischev; 8965258; Moscow
Valera; Rylov; 5814526; Simbirsk
Andrey; Barmaley; 123987456; New York
John; Connor; none; New York
